,Ramp.up.time,,,Mat.cost,,,Dev.time,,,Dep.time,,,Battery.usage,,,Resp.time,,,Reliability,,
GPS,5,6,7,50,80,100,3,4,5,2,3,3,10,10,14,480,500,990,60,75,80
Radio,7,8,9,0,0,0,10,14,15,1,1,2,4,5,6,50,100,600,90,92,99
Nexus1,0,0,0,500,525,530,0,0,0,0,0,0,3,5,5,40,60,65,0,0,0
Motorola,0,0,0,520,520,600,0,0,0,0,0,0,4,5,14,50,55,200,0,0,0
OpenIntents,8,9,10,0,0,0,3,4,6,1,1,2,5,5,6,50,65,70,90,95,99
In.house,5,8,12,0,0,0,5,6,15,0,0,0,3,4,7,40,60,100,80,92,96
Explicit,2,2,3,0,0,0,5,6,7,1,2,2,1,3,4,20,30,50,85,88,90
Implicit,1,2,2,0,0,0,3,4,4,1,1,1,7,8,10,1,4,10,95,97,99
Openfire,5,6,7,0,0,0,5,6,8,1,1,2,4,5,6,40,60,70,94,95,99
Inhouse,3,4,14,0,0,0,7,8,20,0,0,0,2,3,12,30,40,200,60,96,97
On.demand,7,9,10,0,0,0,14,18,21,0,0,0,4,4,12,700,800,900,70,91,92
Cached,7,9,10,700,900,950,14,18,21,3,4,5,4,5,12,1,4,500,85,97,98
Proloaded,10,13,14,100,170,200,20,27,30,3,4,5,5,7,7,1,2,3,85,90,99
Wifi,1,3,4,70,85,85,0,0,0,5,6,7,3,4,5,30,35,40,80,85,95
3G.Nexus,1,2,3,360,400,600,0,0,0,2,3,4,1,2,3,20,25,40,80,88,99
3G.Droid,1,2,3,360,400,600,0,0,0,2,3,4,2,4,5,20,25,40,80,88,99
Bluetooth,1,2,8,50,70,200,0,0,0,4,5,15,2,3,15,25,30,200,50,85,85
MySQL,1,2,3,0,0,0,15,17,18,10,15,16,3,6,7,20,25,30,85,90,99
SQLLite,3,4,5,0,0,0,15,16,22,13,14,22,5,5,10,8,10,50,70,90,95
P2P,10,11,13,0,0,0,20,26,30,14,18,21,7,8,10,10,20,30,60,66,70
Client-server,7,8,10,0,0,0,15,16,20,7,9,10,5,6,7,25,30,80,85,95,97
Push-based,9,10,12,0,0,0,20,24,25,8,9,12,2,4,4,15,25,40,90,94,99
XML,2,3,4,0,0,0,6,7,8,0,0,0,3,4,6,20,35,80,0,0,0
Compressed.xml,4,5,6,0,0,0,7,9,10,0,0,0,5,5,7,12,20,35,0,0,0
Unformatted,1,2,3,0,0,0,3,4,5,0,0,0,1,1,3,3,10,15,0,0,0
